source,source_lot_id,lot_url,sale_date_utc,sale_local_time,location_city,location_state,vin,year,make,model,title_status,condition_notes
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2024_Toyota_Tacoma_Double_Cab_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,,Future Sale,Providence,RI,,2024,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2023_Toyota_Tacoma_Double_Cab_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Newark,NJ,,2023,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2023_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",New York,NY,,2023,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2023_Toyota_Tacoma_Dou_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Providence,RI,,2023,TOYOTA,Tacoma Dou,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2023_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2023,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2023_Toyota_Tacoma_Dou_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,,Future Sale,Newark,NJ,,2023,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2022_Toyota_Tacoma_Dou_Rochester,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Rochester,NY,,2022,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2022_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",New York,NY,,2022,TOYOTA,Tacoma Double Cab,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2022_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2022,TOYOTA,Tacoma Double Cab,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2022_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2022,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2022_Toyota_Tacoma_Dou_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2022,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2022_Toyota_Tacoma_Dou_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,,Future Sale,Providence,RI,,2022,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2022_Toyota_Tacoma_Acc_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,,Future Sale,Providence,RI,,2022,TOYOTA,Tacoma Acc,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2021_Toyota_Tacoma_Dou_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2021,TOYOTA,Tacoma Dou,unknown,
nyc_finance,nyc_3TYCZ5AN0MT015910_69,https://www.nyc.gov/assets/finance/downloads/pdf/auction/auction-092625-brooklyn.pdf,2025-09-26T13:30:00+00:00,"September 26, 2025 9:30 AM",Brooklyn,NY,3TYCZ5AN0MT015910,2021,TOYOTA,Tacoma,unknown,"Seized/abandoned vehicle sold as-is, no warranty"
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2021_Toyota_Tacoma_Dou_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,2025-10-02T18:00:00+00:00,"October 02, 2025 2:00 PM",Providence,RI,,2021,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2020_Toyota_Tacoma_Dou_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Boston,MA,,2020,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2020_Toyota_Tacoma_Double_Cab_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2020,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2020_Toyota_Tacoma_Access_Cab_Albany,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Albany,NY,,2020,TOYOTA,Tacoma Access Cab,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2020_Toyota_Tacoma_Access_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2020,TOYOTA,Tacoma Access Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2020_Toyota_Tacoma_Access_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2020,TOYOTA,Tacoma Access Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2020_Toyota_Tacoma_Dou_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,,Future Sale,Newark,NJ,,2020,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ny_2019_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2019,TOYOTA,Tacoma Double Cab,unknown,
ny_abetter_bid,abetter_bid_toyota_tacoma_2019_Toyota_Tacoma_Double_Cab_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ny,,,New York,NY,,2019,TOYOTA,Tacoma Double Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2019_Toyota_Tacoma_Acc_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,,Future Sale,Newark,NJ,,2019,TOYOTA,Tacoma Acc,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2019_Toyota_Tacoma_Dou_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,,Future Sale,Newark,NJ,,2019,TOYOTA,Tacoma Dou,unknown,
ct_statewide_auction,ct_statewide_5_S1,https://www.statewideauction.com/,,"Tuesday, September 23 at 03:50 PM EST",Meriden,CT,3TMCZ5AN9JM156403,2018,Toyota,Tacoma,unknown,
